id;pred;true;latency_ms;cpu_percent;mem_percent;accuracy_cumulative;timestamp;mode;profile;;Lat media;CPU % media;Mem % media
;normal;suspect;107,8698635;7,6;12,37249374;0,375;1758295141;ml;cloud;;;;
;normal;early;107,1529388;12,8;12,37277985;0,365853659;1758295141;ml;cloud;;;;
;normal;early;107,9602242;11,1;12,37297058;0,357142857;1758295141;ml;cloud;;;;
;normal;early;101,3219357;10,7;12,37316132;0,348837209;1758295141;ml;cloud;;;;
;normal;early;108,2639694;10,7;12,37335205;0,340909091;1758295141;ml;cloud;;;;
;normal;suspect;128,8311481;9,4;12,37363815;0,333333333;1758295141;ml;cloud;;;;
;normal;early;96,71616554;10,7;12,37368584;0,326086957;1758295141;ml;cloud;;;;
;stage 2 failure;early;127,9199123;8,4;12,37387657;0,319148936;1758295141;ml;cloud;;;;
;normal;early;129,2972565;7,9;12,37406731;0,3125;1758295142;ml;cloud;;;;
;normal;normal;129,8978329;9,6;12,37521172;0,326530612;1758295142;ml;cloud;;;;
;normal;normal;104,6209335;10;12,37549782;0,34;1758295142;ml;cloud;;;;
;stage 2 failure;normal;88,3667469;8,6;12,37978935;0,333333333;1758295142;ml;cloud;;;;
;normal;normal;117,6319122;8,8;12,37998009;0,346153846;1758295142;ml;cloud;;;;
;normal;suspect;107,2061062;10,9;12,38017082;0,339622642;1758295142;ml;cloud;;;;
;normal;normal;127,3880005;9,3;12,38026619;0,351851852;1758295142;ml;cloud;;;;
;stage 2 failure;normal;116,7471409;9,1;12,38045692;0,345454545;1758295142;ml;cloud;;;;
;normal;normal;130,2540302;8,5;12,38064766;0,357142857;1758295143;ml;cloud;;;;
;normal;normal;116,3678169;7,1;12,38083839;0,368421053;1758295143;ml;cloud;;;;
;normal;normal;101,0072231;10,6;12,38102913;0,379310345;1758295143;ml;cloud;;;;
;stage 2 failure;normal;110,4691029;10,3;12,38121986;0,372881356;1758295143;ml;cloud;;;;
;normal;suspect;102,7071476;10,1;12,3814106;0,366666667;1758295143;ml;cloud;;;;
;normal;suspect;115,7670021;11,7;12,38160133;0,360655738;1758295143;ml;cloud;;;;
;normal;normal;120,18013;6,6;12,38179207;0,370967742;1758295143;ml;cloud;;;;
;imminent failure;normal;93,13297272;11;12,38203049;0,365079365;1758295143;ml;cloud;;;;
;inner race failure;rolling element failure;126,8489361;8,5;12,38222122;0,359375;1758295143;ml;cloud;;;;
;normal;suspect;103,8219929;11,4;12,38241196;0,353846154;1758295144;ml;cloud;;;;
;normal;early;103,1358242;8,1;12,38260269;0,348484848;1758295144;ml;cloud;;;;
;stage 2 failure;early;95,50476074;12,2;12,38284111;0,343283582;1758295144;ml;cloud;;;;
;normal;normal;104,6068668;9,9;12,38303185;0,352941176;1758295144;ml;cloud;;;;
;normal;suspect;131,704092;8,1;12,38322258;0,347826087;1758295144;ml;cloud;;;;
;normal;suspect;93,64581108;9,8;12,38341331;0,342857143;1758295144;ml;cloud;;;;
;imminent failure;suspect;100,5988121;12,4;12,38360405;0,338028169;1758295144;ml;cloud;;;;
;imminent failure;stage 2 failure;98,97422791;11;12,38379478;0,333333333;1758295144;ml;cloud;;;;
;normal;suspect;102,4639606;10,9;12,38436699;0,328767123;1758295144;ml;cloud;;;;
;normal;normal;107,0477962;9,1;12,38455772;0,337837838;1758295145;ml;cloud;;;;
;stage 2 failure;normal;100,9919643;10,6;12,38474846;0,333333333;1758295145;ml;cloud;;;;
;normal;normal;132,2259903;8,6;12,38493919;0,342105263;1758295145;ml;cloud;;;;
;normal;suspect;95,00694275;12;12,38570213;0,337662338;1758295145;ml;cloud;;;;
;normal;suspect;106,0926914;7,4;12,38679886;0,333333333;1758295145;ml;cloud;;;;
;inner race failure;suspect;92,44227409;9,4;12,38698959;0,329113924;1758295145;ml;cloud;;;;
;imminent failure;stage 2 failure;117,8510189;7,1;12,38718033;0,325;1758295145;ml;cloud;;;;
;normal;early;118,1058884;9,4;12,3875618;0,320987654;1758295145;ml;cloud;;;;
;normal;early;112,2159958;7,5;12,3878479;0,317073171;1758295145;ml;cloud;;;;
;normal;early;115,6442165;6,5;12,3898983;0,313253012;1758295146;ml;cloud;;;;
;normal;early;92,56219864;7,9;12,39008904;0,30952381;1758295146;ml;cloud;;;;
;normal;early;121,2706566;7;12,39061356;0,305882353;1758295146;ml;cloud;;;;
;normal;early;113,4140491;6,7;12,39080429;0,302325581;1758295146;ml;cloud;;;;
;normal;early;102,4010181;11;12,39099503;0,298850575;1758295146;ml;cloud;;;;
;normal;early;87,60619164;9,1;12,39118576;0,295454545;1758295146;ml;cloud;;;;
;normal;suspect;128,2639503;6;12,3913765;0,292134831;1758295146;ml;cloud;;;;
;normal;normal;97,86391258;8,5;12,39314079;0,3;1758295146;ml;cloud;;;;
;stage 2 failure;suspect;95,49212456;8,2;12,39333153;0,296703297;1758295146;ml;cloud;;;;
;inner race failure;rolling element failure;120,4509735;6,7;12,39361763;0,293478261;1758295147;ml;cloud;;;;
;normal;normal;118,3431149;7,4;12,39380836;0,301075269;1758295147;ml;cloud;;;;
;normal;normal;108,4091663;8;12,39514351;0,308510638;1758295147;ml;cloud;;;;
;stage 2 failure;normal;98,04797173;8,3;12,39533424;0,305263158;1758295147;ml;cloud;;;;
;normal;rolling element failure;93,84799004;8,6;12,39557266;0,302083333;1758295147;ml;cloud;;;;
;normal;normal;102,080822;8,7;12,3957634;0,309278351;1758295147;ml;cloud;;;;
;normal;normal;101,6020775;8,2;12,39600182;0,316326531;1758295147;ml;cloud;;;;
;stage 2 failure;normal;124,355793;7;12,39619255;0,313131313;1758295147;ml;cloud;;;;
;normal;suspect;100,938797;7,4;12,39638329;0,31;1758295147;ml;cloud;;;;
;normal;suspect;92,62514114;12;12,39666939;0,306930693;1758295148;ml;cloud;;;;
;normal;normal;124,1130829;2,8;12,39695549;0,31372549;1758295148;ml;cloud;;;;
;stage 2 failure;suspect;96,56691551;1;12,39724159;0,310679612;1758295149;ml;cloud;;;;
;imminent failure;stage 2 failure;99,06792641;0,9;12,39743233;0,307692308;1758295150;ml;cloud;;;;
;normal;suspect;114,9189472;1;12,39762306;0,304761905;1758295151;ml;cloud;;;;
;normal;normal;115,2129173;2;12,39790916;0,311320755;1758295152;ml;cloud;;;;
;stage 2 failure;normal;101,5868187;1,9;12,3980999;0,308411215;1758295153;ml;cloud;;;;
;normal;normal;115,3569221;1;12,39829063;0,314814815;1758295154;ml;cloud;;;;
;normal;normal;101,6631126;1,4;12,398386;0,321100917;1758295155;ml;cloud;;;;
;normal;normal;118,5302734;0,9;12,39862442;0,327272727;1758295156;ml;cloud;;;;
;stage 2 failure;normal;128,5989285;1;12,39881516;0,324324324;1758295157;ml;cloud;;;;
;normal;normal;101,5920639;1,1;12,39914894;0,330357143;1758295158;ml;cloud;;;;
;normal;suspect;125,8640289;0,9;12,39933968;0,327433628;1758295159;ml;cloud;;;;
;normal;early;122,0507622;1,2;12,39943504;0,324561404;1758295160;ml;cloud;;;;
;stage 2 failure;early;112,2093201;1;12,39967346;0,32173913;1758295161;ml;cloud;;;;
;normal;early;113,6341095;0,9;12,3998642;0,318965517;1758295162;ml;cloud;;;;
;normal;normal;122,4210262;1,2;12,40005493;0,324786325;1758295163;ml;cloud;;;;
;normal;normal;130,1109791;1;12,40024567;0,330508475;1758295164;ml;cloud;;;;
;stage 2 failure;normal;122,9012012;0,9;12,4004364;0,327731092;1758295165;ml;cloud;;;;
;normal;normal;111,2129688;1,8;12,4007225;0,333333333;1758295166;ml;cloud;;;;
;normal;suspect;117,4340248;1,3;12,40091324;0,330578512;1758295167;ml;cloud;;;;
;normal;normal;118,1409359;1,8;12,40110397;0,336065574;1758295168;ml;cloud;;;;
;stage 2 failure;normal;134,0670586;1,2;12,40129471;0,333333333;1758295169;ml;cloud;;;;
;imminent failure;rolling element failure;134,2270374;1,4;12,40139008;0,330645161;1758295170;ml;cloud;;;;
;normal;normal;122,3049164;1,4;12,40158081;0,336;1758295171;ml;cloud;;;;
;normal;normal;99,88284111;2,8;12,39147186;0,341269841;1758295172;ml;cloud;;;;
;stage 2 failure;normal;117,8431511;1,4;12,38689423;0,338582677;1758295173;ml;cloud;;;;
;normal;suspect;102,3240089;1,3;12,38703728;0,3359375;1758295174;ml;cloud;;;;
;normal;early;119,4269657;1,3;12,38827705;0,333333333;1758295175;ml;cloud;;;;
;normal;early;110,9569073;1,1;12,39032745;0,330769231;1758295176;ml;cloud;;;;
;stage 2 failure;early;131,2849522;1,5;12,39051819;0,328244275;1758295177;ml;cloud;;;;
;normal;early;118,3991432;1,2;12,39085197;0,325757576;1758295178;ml;cloud;;;;
;normal;suspect;113,1629944;1,2;12,39113808;0,323308271;1758295179;ml;cloud;;;;
;normal;early;121,175766;1,2;12,39132881;0,320895522;1758295180;ml;cloud;;;;
;stage 2 failure;early;131,0119629;2,4;12,39352226;0,318518519;1758295181;ml;cloud;;;;
;normal;normal;90,76189995;1;12,393713;0,323529412;1758295182;ml;cloud;;;;
;normal;suspect;118,5078621;1,7;12,39390373;0,321167883;1758295183;ml;cloud;;;;
;normal;early;110,337019;1,2;12,39409447;0,31884058;1758295184;ml;cloud;;;;
;stage 2 failure;early;135,5850697;1,4;12,39418983;0,316546763;1758295185;ml;cloud;;;;
;normal;normal;103,4610271;1,4;12,39438057;0,321428571;1758295186;ml;cloud;;;;
;normal;suspect;128,538847;1,6;12,3945713;0,319148936;1758295187;ml;cloud;;;;
;normal;normal;98,15430641;1,3;12,3945713;0,323943662;1758295188;ml;cloud;;;;
;stage 2 failure;normal;102,7879715;1,5;12,39485741;0,321678322;1758295189;ml;cloud;;;;
;stage 2 failure;rolling element failure;108,148098;1,6;12,39504814;0,319444444;1758295190;ml;cloud;;;;
;normal;normal;97,66578674;1,5;12,39562035;0,324137931;1758295191;ml;cloud;;;;
;normal;normal;100,3010273;1,3;12,39871979;0,328767123;1758295192;ml;cloud;;;;
;stage 2 failure;normal;133,2418919;1,8;12,39891052;0,326530612;1758295194;ml;cloud;;;;
;normal;suspect;105,2770615;1,2;12,39919662;0,324324324;1758295194;ml;cloud;;;;
;normal;suspect;100,6910801;1,4;12,39938736;0,322147651;1758295196;ml;cloud;;;;
;normal;normal;95,75510025;2,1;12,39967346;0,326666667;1758295197;ml;cloud;;;;
;stage 2 failure;normal;122,6387024;1,5;12,3998642;0,324503311;1758295198;ml;cloud;;;;
;normal;normal;115,8452034;2,1;12,40005493;0,328947368;1758295199;ml;cloud;;;;
;normal;normal;111,194849;1,7;12,40377426;0,333333333;1758295200;ml;cloud;;;;
;normal;normal;103,8198471;1,6;12,403965;0,337662338;1758295201;ml;cloud;;;;
;stage 2 failure;normal;99,7068882;1,8;12,40415573;0,335483871;1758295202;ml;cloud;;;;
;normal;suspect;120,4340458;1,4;12,40434647;0,333333333;1758295203;ml;cloud;;;;
;normal;suspect;105,8850288;1,3;12,4045372;0,331210191;1758295204;ml;cloud;;;;
;normal;early;108,8759899;1,6;12,40472794;0,329113924;1758295205;ml;cloud;;;;
;stage 2 failure;early;100,5828381;1,3;12,40491867;0,327044025;1758295206;ml;cloud;;;;
;normal;normal;109,8659039;1,4;12,40510941;0,33125;1758295207;ml;cloud;;;;
;normal;suspect;108,3221436;1,7;12,40530014;0,329192547;1758295208;ml;cloud;;;;
;normal;normal;107,489109;1,3;12,40549088;0,333333333;1758295209;ml;cloud;;;;
;stage 2 failure;normal;129,7736168;1,2;12,40568161;0,331288344;1758295210;ml;cloud;;;;
;imminent failure;rolling element failure;129,7199726;1;12,40587234;0,329268293;1758295211;ml;cloud;;;;
;normal;normal;104,5110226;2,3;12,40615845;0,333333333;1758295212;ml;cloud;;;;
;normal;normal;126,7089844;2;12,40634918;0,337349398;1758295213;ml;cloud;;;;
;stage 2 failure;normal;113,7092113;1,3;12,40653992;0,335329341;1758295214;ml;cloud;;;;
;normal;normal;136,0781193;1,7;12,40663528;0,339285714;1758295215;ml;cloud;;;;
;normal;suspect;103,3196449;2;12,40692139;0,337278107;1758295216;ml;cloud;;;;
;normal;early;107,3522568;1,6;12,40711212;0,335294118;1758295217;ml;cloud;;;;
;stage 2 failure;early;126,9760132;1,5;12,40730286;0,333333333;1758295218;ml;cloud;;;;
;normal;normal;109,8971367;1,2;12,40749359;0,337209302;1758295219;ml;cloud;;;;
;normal;suspect;126,3780594;1,6;12,40768433;0,335260116;1758295220;ml;cloud;;;;
;normal;early;110,8460426;2;12,40787506;0,333333333;1758295221;ml;cloud;;;;
;stage 2 failure;early;127,0928383;1,5;12,4080658;0,331428571;1758295222;ml;cloud;;;;
;normal;normal;113,4369373;1,6;12,40825653;0,335227273;1758295223;ml;cloud;;;;
;normal;normal;112,1237278;1;12,40859032;0,338983051;1758295224;ml;cloud;;;;
;normal;normal;118,2038784;1,6;12,40925789;0,342696629;1758295225;ml;cloud;;;;
;imminent failure;normal;111,9036674;1;12,40944862;0,340782123;1758295226;ml;cloud;;;;
;normal;suspect;115,3767109;2;12,40973473;0,338888889;1758295227;ml;cloud;;;;
;imminent failure;suspect;130,9819221;2,5;12,40992546;0,337016575;1758295228;ml;cloud;;;;
;normal;normal;109,1458797;1,4;12,4101162;0,340659341;1758295229;ml;cloud;;;;
;stage 2 failure;normal;106,3280106;1,8;12,41030693;0,338797814;1758295230;ml;cloud;;;;
;normal;normal;121,1998463;1;12,41049767;0,342391304;1758295231;ml;cloud;;;;
;normal;suspect;128,6180019;1,5;12,41059303;0,340540541;1758295232;ml;cloud;;;;
;normal;normal;131,3660145;2;12,41078377;0,344086022;1758295233;ml;cloud;;;;
;stage 2 failure;normal;94,86794472;1;12,4109745;0,342245989;1758295234;ml;cloud;;;;
;stage 2 failure;rolling element failure;104,9339771;2;12,41121292;0,340425532;1758295235;ml;cloud;;;;
;normal;suspect;196,0849762;9,9;12,41140366;0,338624339;1758295236;ml;cloud;;;;
;normal;early;125,565052;1,5;12,41164207;0,336842105;1758295237;ml;cloud;;;;
;stage 2 failure;early;113,1141186;1,6;12,41183281;0,335078534;1758295238;ml;cloud;;;;
;normal;normal;110,8837128;1,3;12,41202354;0,338541667;1758295239;ml;cloud;;;;
;normal;normal;92,46683121;1,3;12,41221428;0,341968912;1758295240;ml;cloud;;;;
;normal;normal;94,79618073;2,4;12,41250038;0,345360825;1758295241;ml;cloud;;;;
;stage 2 failure;normal;123,2309341;1,2;12,41269112;0,343589744;1758295242;ml;cloud;;;;
;normal;normal;109,5039845;2,2;12,41345406;0,346938776;1758295243;ml;cloud;;;;
;normal;early;101,1748314;1,2;12,41412163;0,345177665;1758295244;ml;cloud;;;;
;normal;early;103,7659645;1,6;12,414217;0,343434343;1758295245;ml;cloud;;;;
;normal;early;109,1091633;1,6;12,41440773;0,341708543;1758295246;ml;cloud;;;;
;normal;early;114,0961647;1,4;12,41459846;0,34;1758295247;ml;cloud;;;;
;normal;imminent failure;105,2818298;1,8;12,4147892;0,338308458;1758295248;ml;cloud;;;;
;imminent failure;imminent failure;114,4118309;1,6;12,41497993;0,341584158;1758295249;ml;cloud;;;;
;imminent failure;inner race failure;132,8372955;1,5;12,41517067;0,339901478;1758295250;ml;cloud;;;;
;imminent failure;stage 2 failure;122,3640442;1,7;12,4153614;0,338235294;1758295251;ml;cloud;;;;
;normal;normal;115,8530712;1,3;12,41555214;0,341463415;1758295252;ml;cloud;;;;
;normal;normal;97,88012505;1;12,41574287;0,344660194;1758295253;ml;cloud;;;;
;stage 2 failure;normal;117,0921326;1,3;12,41593361;0,342995169;1758295254;ml;cloud;;;;
;normal;suspect;116,7862415;1,5;12,41612434;0,341346154;1758295255;ml;cloud;;;;
;normal;normal;107,5308323;2,1;12,41641045;0,344497608;1758295256;ml;cloud;;;;
;normal;normal;96,17900848;1,5;12,41660118;0,347619048;1758295257;ml;cloud;;;;
;stage 2 failure;normal;103,9459705;2,2;12,41679192;0,345971564;1758295258;ml;cloud;;;;
;normal;normal;96,49801254;1,7;12,41698265;0,349056604;1758295259;ml;cloud;;;;
;normal;suspect;100,165844;1,9;12,41707802;0,34741784;1758295260;ml;cloud;;;;
;normal;normal;108,4671021;1,8;12,41726875;0,35046729;1758295261;ml;cloud;;;;
;stage 2 failure;normal;105,9911251;1,2;12,41745949;0,348837209;1758295262;ml;cloud;;;;
;stage 2 failure;rolling element failure;108,4280014;1,5;12,41765022;0,347222222;1758295264;ml;cloud;;;;
;normal;suspect;130,7599545;1,2;12,41784096;0,34562212;1758295265;ml;cloud;;;;
;normal;normal;104,0341854;1,2;12,41803169;0,348623853;1758295266;ml;cloud;;;;
;imminent failure;suspect;120,2847958;1,5;12,41841316;0,347031963;1758295267;ml;cloud;;;;
;imminent failure;stage 2 failure;129,6000481;1,9;12,4186039;0,345454545;1758295268;ml;cloud;;;;
;normal;suspect;106,1649323;1,8;12,41879463;0,343891403;1758295269;ml;cloud;;;;
;normal;early;127,8719902;0,9;12,41898537;0,342342342;1758295270;ml;cloud;;;;
;stage 2 failure;early;121,863842;1,4;12,4191761;0,340807175;1758295271;ml;cloud;;;;
;normal;normal;99,74503517;2,3;12,4194622;0,34375;1758295272;ml;cloud;;;;
;normal;suspect;102,891922;1,5;12,41965294;0,342222222;1758295273;ml;cloud;;;;
;normal;early;109,2021465;2,2;12,41984367;0,340707965;1758295274;ml;cloud;;;;
;stage 2 failure;early;124,7010231;1,4;12,41993904;0,339207048;1758295275;ml;cloud;;;;
;normal;normal;108,6270809;1,3;12,42012978;0,342105263;1758295276;ml;cloud;;;;
;normal;normal;112,8411293;1,2;12,42032051;0,344978166;1758295277;ml;cloud;;;;
;normal;normal;93,31989288;1,2;12,42055893;0,347826087;1758295278;ml;cloud;;;;
;stage 2 failure;normal;96,64511681;1;12,42074966;0,346320346;1758295279;ml;cloud;;;;
;normal;rolling element failure;104,5329571;1,2;12,4209404;0,344827586;1758295280;ml;cloud;;;;
;normal;suspect;111,8078232;1,3;10,51573753;0,343347639;1758295281;ml;cloud;;;;
;normal;normal;126,72925;1,2;10,11762619;0,346153846;1758295282;ml;cloud;;;;
;imminent failure;suspect;99,81203079;1,5;9,016656876;0,344680851;1758295283;ml;cloud;;;;
;imminent failure;rolling element failure;106,7240238;1,2;5,624198914;0,343220339;1758295284;ml;cloud;;;;
;normal;normal;99,52616692;1,4;5,538797379;0,345991561;1758295285;ml;cloud;;;;
;normal;normal;96,69613838;1;5,453252792;0,348739496;1758295286;ml;cloud;;;;
;stage 2 failure;normal;95,51382065;1,8;5,417537689;0,347280335;1758295287;ml;cloud;;;;
;normal;suspect;105,1869392;1,8;5,418109894;0,345833333;1758295288;ml;cloud;;;;
;normal;suspect;122,0810413;1,8;5,420160294;0,34439834;1758295289;ml;cloud;;;;
;normal;early;94,38109398;1,7;5,363273621;0,342975207;1758295290;ml;cloud;;;;
;stage 2 failure;early;111,1299992;1,5;5,36441803;0,341563786;1758295291;ml;cloud;;;;
;normal;normal;103,9502621;1,3;5,259466171;0,344262295;1758295292;ml;cloud;;;;
;normal;suspect;96,82297707;1,3;5,259656906;0,342857143;1758295293;ml;cloud;;;;
;normal;normal;117,3598766;1,3;5,260038376;0,345528455;1758295294;ml;cloud;;;;
;imminent failure;suspect;102,0648479;1,8;5,261182785;0,344129555;1758295295;ml;cloud;;;;
;imminent failure;stage 2 failure;109,8852158;1,4;5,261611938;0,342741935;1758295296;ml;cloud;;;;
;normal;normal;120,1431751;1,5;5,261993408;0,345381526;1758295297;ml;cloud;;;;
;normal;normal;101,9940376;1,7;5,262184143;0,348;1758295298;ml;cloud;;;;
;stage 2 failure;normal;130,6223869;1,2;5,236673355;0,346613546;1758295299;ml;cloud;;;;
;normal;normal;98,83713722;2,3;5,237293243;0,349206349;1758295300;ml;cloud;;;;
;normal;suspect;99,80487823;1;5,237388611;0,347826087;1758295301;ml;cloud;;;;
;normal;early;115,4248714;2,1;5,237579346;0,346456693;1758295302;ml;cloud;;;;
;stage 2 failure;early;126,0979176;2;5,237770081;0,345098039;1758295303;ml;cloud;;;;
;normal;normal;95,11089325;1,3;5,239915848;0,34765625;1758295304;ml;cloud;;;;
;normal;normal;115,4139042;1,4;5,24020195;0,350194553;1758295305;ml;cloud;;;;
;normal;normal;104,2308807;1,2;5,240392685;0,352713178;1758295306;ml;cloud;;;;
;stage 2 failure;normal;108,5870266;1,2;5,243396759;0,351351351;1758295307;ml;cloud;;;;
;normal;normal;133,8529587;1,5;5,243968964;0,353846154;1758295308;ml;cloud;;;;
;normal;normal;97,6331234;1,7;5,244159698;0,356321839;1758295309;ml;cloud;;;;
;normal;normal;111,0889912;1,5;5,246305466;0,358778626;1758295310;ml;cloud;;;;
;stage 2 failure;normal;108,4239483;1,6;5,246591568;0,357414449;1758295311;ml;cloud;;;;
;normal;suspect;134,8433495;1,6;5,248308182;0,356060606;1758295312;ml;cloud;;;;
;imminent failure;suspect;121,0870743;1,5;5,248498917;0,354716981;1758295313;ml;cloud;;;;
;normal;normal;120,6693649;1,3;5,248689651;0,357142857;1758295314;ml;cloud;;;;
;stage 2 failure;normal;121,9799519;2,4;5,248880386;0,355805243;1758295315;ml;cloud;;;;
;normal;normal;104,6447754;1,9;5,249166489;0,358208955;1758295316;ml;cloud;;;;
;normal;suspect;131,7460537;1,3;5,250597;0,356877323;1758295317;ml;cloud;;;;
;normal;normal;107,5088978;2,1;5,250787735;0,359259259;1758295318;ml;cloud;;;;
;stage 2 failure;normal;113,2011414;1,2;5,251169205;0,357933579;1758295319;ml;cloud;;;;
;imminent failure;rolling element failure;107,6290607;1,1;5,251264572;0,356617647;1758295320;ml;cloud;;;;
;normal;normal;103,8579941;1,5;5,251455307;0,358974359;1758295321;ml;cloud;;;;
;normal;normal;126,7781258;1,2;5,251646042;0,361313869;1758295322;ml;cloud;;;;
;stage 2 failure;normal;108,9673042;0,9;5,251836777;0,36;1758295323;ml;cloud;;;;
;normal;suspect;112,9038334;1,1;5,252075195;0,358695652;1758295324;ml;cloud;;;;
;normal;normal;119,2400455;1,4;5,25226593;0,36101083;1758295325;ml;cloud;;;;
;normal;normal;109,388113;1,1;5,252790451;0,363309353;1758295326;ml;cloud;;;;
;stage 2 failure;normal;103,5149097;1,3;5,252981186;0,362007168;1758295327;ml;cloud;;;;
;normal;normal;119,2240715;1,4;5,253171921;0,364285714;1758295328;ml;cloud;;;;
;normal;suspect;96,48513794;1,6;5,253362656;0,362989324;1758295329;ml;cloud;;;;
;normal;early;128,7300587;1,3;5,25431633;0,361702128;1758295330;ml;cloud;;;;
;stage 2 failure;early;87,5980854;1,8;5,254602432;0,360424028;1758295331;ml;cloud;;;;
;normal;normal;119,079113;1,5;5,254888535;0,362676056;1758295332;ml;cloud;;;;
;normal;normal;116,9300079;2,3;5,255174637;0,364912281;1758295333;ml;cloud;;;;
;normal;normal;98,12307358;1,4;5,255270004;0,367132867;1758295334;ml;cloud;;;;
;stage 2 failure;normal;112,0781898;1;5,255460739;0,365853659;1758295336;ml;cloud;;;;
;normal;normal;103,9643288;1,2;5,255651474;0,368055556;1758295337;ml;cloud;;;;
;normal;suspect;94,49791908;1,4;5,255842209;0,366782007;1758295338;ml;cloud;;;;
;normal;normal;105,2689552;1,3;5,256032944;0,368965517;1758295339;ml;cloud;;;;
;imminent failure;normal;98,17767143;1,3;5,256223679;0,367697595;1758295340;ml;cloud;;;;
;imminent failure;rolling element failure;121,721983;1,1;5,256414413;0,366438356;1758295341;ml;cloud;;;;
;imminent failure;suspect;106,962204;1,1;5,249977112;0,365187713;1758295342;ml;cloud;;;;
;normal;normal;141,2570477;2,1;4,699707031;0,367346939;1758295343;ml;cloud;;;;
;stage 2 failure;normal;129,6072006;2,5;4,637908936;0,366101695;1758295344;ml;cloud;;;;
;normal;normal;124,6798038;1,4;4,63809967;0,368243243;1758295345;ml;cloud;;;;
;normal;suspect;101,0529995;1,9;4,638290405;0,367003367;1758295346;ml;cloud;;;;
;normal;early;124,8497963;2,1;4,638624191;0,365771812;1758295347;ml;cloud;;;;
;stage 2 failure;early;111,9959354;2,2;4,638910294;0,364548495;1758295348;ml;cloud;;;;
;normal;normal;106,7018509;2,5;4,639101028;0,366666667;1758295349;ml;cloud;;;;
