id;pred;true;latency_ms;cpu_percent;mem_percent;accuracy_cumulative;timestamp;mode;profile;;;lat;cpu;mem
;suspect;suspect;26,32904053;48,5;3,103160858;0,675324675;1758284008;dl;rpi3;;;;;
;normal;suspect;25,2289772;48,9;3,103160858;0,666666667;1758284008;dl;rpi3;;;;;
;suspect;suspect;21,58069611;52,2;3,103160858;0,670886076;1758284008;dl;rpi3;;;;;
;rolling element failure;stage 2 failure;23,23913574;51;3,103160858;0,6625;1758284008;dl;rpi3;;;;;
;early;early;20,00069618;2,5;3,103160858;0,666666667;1758284009;dl;rpi3;;;;;
;early;early;30,68494797;1,8;3,104114532;0,670731707;1758284010;dl;rpi3;;;;;
;early;early;21,98696136;1,5;3,104114532;0,674698795;1758284011;dl;rpi3;;;;;
;early;early;23,73313904;1,4;3,104114532;0,678571429;1758284012;dl;rpi3;;;;;
;early;early;23,89812469;1,4;3,105115891;0,682352941;1758284013;dl;rpi3;;;;;
;early;early;22,19486237;1,4;3,105163574;0,686046512;1758284014;dl;rpi3;;;;;
;early;early;23,93484116;1,4;3,105163574;0,689655172;1758284015;dl;rpi3;;;;;
;early;early;23,06008339;1,4;3,105163574;0,693181818;1758284016;dl;rpi3;;;;;
;suspect;suspect;21,22282982;1,4;3,105163574;0,696629213;1758284017;dl;rpi3;;;;;
;normal;normal;24,57213402;2,4;3,105258942;0,7;1758284018;dl;rpi3;;;;;
;normal;suspect;22,05705643;1,5;3,105545044;0,692307692;1758284019;dl;rpi3;;;;;
;rolling element failure;rolling element failure;23,6530304;2,5;3,105449677;0,695652174;1758284020;dl;rpi3;;;;;
;suspect;normal;24,477005;1,5;3,105735779;0,688172043;1758284021;dl;rpi3;;;;;
;normal;normal;21,66676521;1,6;3,105640411;0,691489362;1758284022;dl;rpi3;;;;;
;normal;normal;20,69187164;1,5;3,107118607;0,694736842;1758284023;dl;rpi3;;;;;
;rolling element failure;rolling element failure;22,56417274;1,6;3,107261658;0,697916667;1758284024;dl;rpi3;;;;;
;suspect;normal;23,76699448;1,6;3,107261658;0,690721649;1758284025;dl;rpi3;;;;;
;normal;normal;24,86085892;1,6;3,107261658;0,693877551;1758284026;dl;rpi3;;;;;
;normal;normal;22,23277092;1,4;3,107261658;0,696969697;1758284027;dl;rpi3;;;;;
;rolling element failure;suspect;21,14200592;1,5;3,107261658;0,69;1758284028;dl;rpi3;;;;;
;suspect;suspect;33,81991386;2,2;3,107261658;0,693069307;1758284029;dl;rpi3;;;;;
;normal;normal;23,41198921;1,4;3,107404709;0,696078431;1758284030;dl;rpi3;;;;;
;suspect;suspect;23,56529236;1,4;3,107404709;0,699029126;1758284031;dl;rpi3;;;;;
;rolling element failure;stage 2 failure;23,42772484;1,5;3,107404709;0,692307692;1758284032;dl;rpi3;;;;;
;suspect;suspect;22,41420746;2,4;3,107595444;0,695238095;1758284033;dl;rpi3;;;;;
;normal;normal;20,54715157;1,4;3,109073639;0,698113208;1758284034;dl;rpi3;;;;;
;normal;normal;26,004076;3,2;3,109073639;0,700934579;1758284035;dl;rpi3;;;;;
;normal;normal;23,51307869;1,5;3,108978271;0,703703704;1758284036;dl;rpi3;;;;;
;suspect;normal;24,38783646;1,5;3,108978271;0,697247706;1758284037;dl;rpi3;;;;;
;normal;normal;30,59411049;2;3,108978271;0,7;1758284038;dl;rpi3;;;;;
;normal;normal;23,9841938;1,6;3,108978271;0,702702703;1758284039;dl;rpi3;;;;;
;normal;normal;22,56584167;1,4;3,108978271;0,705357143;1758284040;dl;rpi3;;;;;
;suspect;suspect;20,92790604;1,4;3,108978271;0,707964602;1758284041;dl;rpi3;;;;;
;normal;early;20,37191391;1,5;3,109073639;0,701754386;1758284042;dl;rpi3;;;;;
;normal;early;22,65501022;1,5;3,109073639;0,695652174;1758284043;dl;rpi3;;;;;
;normal;early;24,68299866;1,5;3,109073639;0,689655172;1758284044;dl;rpi3;;;;;
;suspect;normal;24,69921112;1,5;3,109073639;0,683760684;1758284045;dl;rpi3;;;;;
;normal;normal;26,33810043;1,5;3,109073639;0,686440678;1758284046;dl;rpi3;;;;;
;normal;normal;23,10490608;1,5;3,113651276;0,68907563;1758284047;dl;rpi3;;;;;
;normal;normal;20,94101906;2,4;3,113746643;0,691666667;1758284048;dl;rpi3;;;;;
;suspect;suspect;25,5920887;1,7;3,113746643;0,694214876;1758284049;dl;rpi3;;;;;
;normal;normal;26,460886;2,4;3,113746643;0,696721311;1758284050;dl;rpi3;;;;;
;normal;normal;25,2327919;1,6;3,113651276;0,699186992;1758284051;dl;rpi3;;;;;
;rolling element failure;rolling element failure;24,35088158;1,5;3,115177155;0,701612903;1758284052;dl;rpi3;;;;;
;suspect;normal;21,21710777;1,8;3,115177155;0,696;1758284053;dl;rpi3;;;;;
;normal;normal;25,43520927;1,5;3,115177155;0,698412698;1758284054;dl;rpi3;;;;;
;normal;normal;37,8100872;1,9;3,115177155;0,700787402;1758284055;dl;rpi3;;;;;
;normal;suspect;22,29499817;1,6;3,115177155;0,6953125;1758284056;dl;rpi3;;;;;
;normal;early;23,46014977;1,4;3,115177155;0,689922481;1758284057;dl;rpi3;;;;;
;early;early;24,99198914;1,5;3,115510941;0,692307692;1758284058;dl;rpi3;;;;;
;early;early;24,50466156;1,5;3,115510941;0,694656489;1758284059;dl;rpi3;;;;;
;early;early;24,32465553;1,5;3,115510941;0,696969697;1758284060;dl;rpi3;;;;;
;suspect;suspect;22,534132;1,4;3,115510941;0,69924812;1758284061;dl;rpi3;;;;;
;normal;early;21,11315727;1,4;3,115510941;0,694029851;1758284062;dl;rpi3;;;;;
;normal;early;26,47686005;2,4;3,115606308;0,688888889;1758284063;dl;rpi3;;;;;
;normal;normal;28,67364883;2,3;3,115987778;0,691176471;1758284064;dl;rpi3;;;;;
;suspect;suspect;25,49123764;1,5;3,116130829;0,693430657;1758284065;dl;rpi3;;;;;
;normal;early;22,76992798;1,5;3,116035461;0,688405797;1758284066;dl;rpi3;;;;;
;normal;early;26,72481537;1,6;3,116416931;0,683453237;1758284067;dl;rpi3;;;;;
;stage 2 failure;normal;21,84295654;1,6;3,116416931;0,678571429;1758284068;dl;rpi3;;;;;
;suspect;suspect;25,32315254;2;3,116893768;0,680851064;1758284070;dl;rpi3;;;;;
;normal;normal;23,55313301;1,6;3,116893768;0,683098592;1758284070;dl;rpi3;;;;;
;normal;normal;23,56219292;1,5;3,116893768;0,685314685;1758284072;dl;rpi3;;;;;
;rolling element failure;rolling element failure;24,18017387;1,6;3,116893768;0,6875;1758284073;dl;rpi3;;;;;
;suspect;normal;24,56307411;1,6;3,116893768;0,682758621;1758284074;dl;rpi3;;;;;
;normal;normal;24,72686768;1,5;3,116893768;0,684931507;1758284075;dl;rpi3;;;;;
;normal;normal;23,4837532;1,4;3,116893768;0,68707483;1758284076;dl;rpi3;;;;;
;suspect;suspect;23,41103554;1,4;3,117656708;0,689189189;1758284077;dl;rpi3;;;;;
;suspect;suspect;23,68712425;1,5;3,117656708;0,691275168;1758284078;dl;rpi3;;;;;
;normal;normal;25,32601357;3,7;3,122282028;0,693333333;1758284079;dl;rpi3;;;;;
;normal;normal;28,51080894;2,4;3,123760223;0,695364238;1758284080;dl;rpi3;;;;;
;rolling element failure;normal;25,89702606;1,7;3,111076355;0,690789474;1758284081;dl;rpi3;;;;;
;suspect;normal;24,60002899;1,6;3,112459183;0,68627451;1758284082;dl;rpi3;;;;;
;normal;normal;31,26716614;2,1;3,112459183;0,688311688;1758284083;dl;rpi3;;;;;
;normal;normal;23,72193336;1,6;3,112506866;0,690322581;1758284084;dl;rpi3;;;;;
;rolling element failure;suspect;24,43218231;1,4;3,112506866;0,685897436;1758284085;dl;rpi3;;;;;
;suspect;suspect;29,39295769;1,6;3,112506866;0,687898089;1758284086;dl;rpi3;;;;;
;normal;early;25,81691742;1,5;3,102493286;0,683544304;1758284087;dl;rpi3;;;;;
;normal;early;36,36193275;2,4;3,103542328;0,679245283;1758284088;dl;rpi3;;;;;
;rolling element failure;normal;25,93803406;1,6;3,105354309;0,675;1758284089;dl;rpi3;;;;;
;suspect;suspect;21,39997482;1,9;3,114080429;0,677018634;1758284090;dl;rpi3;;;;;
;normal;normal;23,45514297;1,6;3,116321564;0,679012346;1758284091;dl;rpi3;;;;;
;normal;normal;22,29404449;1,5;3,116321564;0,680981595;1758284092;dl;rpi3;;;;;
;rolling element failure;rolling element failure;26,18598938;2,6;3,116416931;0,682926829;1758284093;dl;rpi3;;;;;
;suspect;normal;21,05998993;1,5;3,116416931;0,678787879;1758284094;dl;rpi3;;;;;
;normal;normal;27,19473839;2,3;3,116416931;0,680722892;1758284095;dl;rpi3;;;;;
;normal;normal;26,42011642;1,6;3,116416931;0,682634731;1758284096;dl;rpi3;;;;;
;normal;normal;32,12380409;2,1;3,11665535;0,68452381;1758284097;dl;rpi3;;;;;
;suspect;suspect;25,5959034;1,5;3,11665535;0,686390533;1758284098;dl;rpi3;;;;;
;normal;early;24,82390404;1,4;3,11665535;0,682352941;1758284099;dl;rpi3;;;;;
;normal;early;26,1349678;1,5;3,117609024;0,678362573;1758284100;dl;rpi3;;;;;
;normal;normal;23,2489109;1,4;3,117609024;0,680232558;1758284101;dl;rpi3;;;;;
;suspect;suspect;24,93190765;1,5;3,118515015;0,682080925;1758284102;dl;rpi3;;;;;
;normal;early;38,84291649;2,1;3,119564056;0,67816092;1758284103;dl;rpi3;;;;;
;normal;early;22,98521996;1,4;3,119564056;0,674285714;1758284104;dl;rpi3;;;;;
;rolling element failure;normal;23,30613136;1,4;3,119564056;0,670454545;1758284105;dl;rpi3;;;;;
;suspect;normal;23,51093292;1,6;3,119564056;0,666666667;1758284106;dl;rpi3;;;;;
;normal;normal;25,44784546;1,6;3,119564056;0,668539326;1758284107;dl;rpi3;;;;;
;normal;normal;26,501894;2,6;3,119659424;0,670391061;1758284108;dl;rpi3;;;;;
;suspect;suspect;26,7636776;1,5;3,119659424;0,672222222;1758284109;dl;rpi3;;;;;
;suspect;suspect;26,40104294;2,5;3,119659424;0,674033149;1758284110;dl;rpi3;;;;;
;normal;normal;28,88703346;1,7;3,119564056;0,675824176;1758284111;dl;rpi3;;;;;
;normal;normal;24,28197861;1,6;3,121042252;0,677595628;1758284112;dl;rpi3;;;;;
;normal;normal;28,67770195;1,6;3,121042252;0,679347826;1758284113;dl;rpi3;;;;;
;suspect;suspect;20,27225494;1,4;3,121042252;0,681081081;1758284114;dl;rpi3;;;;;
;normal;normal;24,92904663;1,5;3,121089935;0,682795699;1758284115;dl;rpi3;;;;;
;normal;normal;25,45118332;1,5;3,121089935;0,684491979;1758284116;dl;rpi3;;;;;
;rolling element failure;rolling element failure;24,21808243;1,5;3,121089935;0,686170213;1758284117;dl;rpi3;;;;;
;suspect;suspect;23,97799492;1,5;3,121089935;0,687830688;1758284118;dl;rpi3;;;;;
;normal;early;22,80807495;1,6;3,121519089;0,684210526;1758284119;dl;rpi3;;;;;
;normal;early;23,05603027;1,6;3,121519089;0,680628272;1758284120;dl;rpi3;;;;;
;normal;normal;27,92596817;1,6;3,121519089;0,682291667;1758284121;dl;rpi3;;;;;
;suspect;normal;22,51982689;1,5;3,121519089;0,678756477;1758284122;dl;rpi3;;;;;
;normal;normal;31,36897087;2,6;3,123092651;0,680412371;1758284123;dl;rpi3;;;;;
;normal;normal;30,97486496;2,4;3,123140335;0,682051282;1758284124;dl;rpi3;;;;;
;normal;normal;24,90091324;1,5;3,123140335;0,683673469;1758284125;dl;rpi3;;;;;
;early;early;39,05463219;2,1;3,123044968;0,685279188;1758284126;dl;rpi3;;;;;
;early;early;24,53303337;1,5;3,123044968;0,686868687;1758284127;dl;rpi3;;;;;
;early;early;24,03497696;1,5;3,123044968;0,688442211;1758284128;dl;rpi3;;;;;
;early;early;21,79503441;1,5;3,123044968;0,69;1758284129;dl;rpi3;;;;;
;suspect;imminent failure;25,24900436;1,8;3,123044968;0,686567164;1758284130;dl;rpi3;;;;;
;suspect;imminent failure;23,51903915;1,5;3,123044968;0,683168317;1758284131;dl;rpi3;;;;;
;normal;inner race failure;24,07455444;1,5;3,123044968;0,679802956;1758284132;dl;rpi3;;;;;
;rolling element failure;stage 2 failure;21,02327347;1,5;3,123044968;0,676470588;1758284133;dl;rpi3;;;;;
;suspect;normal;26,35002136;1,5;3,123044968;0,673170732;1758284134;dl;rpi3;;;;;
;normal;normal;23,34523201;1,5;3,123617172;0,674757282;1758284136;dl;rpi3;;;;;
;normal;normal;25,07996559;1,5;3,123617172;0,676328502;1758284137;dl;rpi3;;;;;
;normal;suspect;27,13513374;1,7;3,123617172;0,673076923;1758284138;dl;rpi3;;;;;
;suspect;normal;36,11707687;3,3;3,12371254;0,669856459;1758284139;dl;rpi3;;;;;
;normal;normal;30,84301949;2,4;3,123760223;0,671428571;1758284140;dl;rpi3;;;;;
;normal;normal;25,25806427;1,5;3,123760223;0,672985782;1758284141;dl;rpi3;;;;;
;normal;normal;24,40929413;1,5;3,123664856;0,674528302;1758284142;dl;rpi3;;;;;
;suspect;suspect;26,57008171;1,6;3,123664856;0,676056338;1758284143;dl;rpi3;;;;;
;normal;normal;25,40898323;1,5;3,12371254;0,677570093;1758284144;dl;rpi3;;;;;
;normal;normal;29,9539566;1,8;3,12371254;0,679069767;1758284145;dl;rpi3;;;;;
;rolling element failure;rolling element failure;27,1999836;1,6;3,12371254;0,680555556;1758284146;dl;rpi3;;;;;
;suspect;suspect;25,32887459;1,5;3,12371254;0,68202765;1758284147;dl;rpi3;;;;;
;normal;normal;23,665905;1,5;3,123760223;0,683486239;1758284148;dl;rpi3;;;;;
;suspect;suspect;25,25067329;1,5;3,123760223;0,684931507;1758284149;dl;rpi3;;;;;
;stage 2 failure;stage 2 failure;19,96898651;1,5;3,123760223;0,686363636;1758284150;dl;rpi3;;;;;
;suspect;suspect;22,37272263;1,8;3,123760223;0,687782805;1758284151;dl;rpi3;;;;;
;normal;early;24,1727829;1,5;3,123760223;0,684684685;1758284152;dl;rpi3;;;;;
;normal;early;27,13918686;2,7;3,123855591;0,68161435;1758284153;dl;rpi3;;;;;
;rolling element failure;normal;23,65803719;1,6;3,123855591;0,678571429;1758284154;dl;rpi3;;;;;
;suspect;suspect;32,19389915;2,4;3,123855591;0,68;1758284155;dl;rpi3;;;;;
;normal;early;25,85816383;1,6;3,123855591;0,67699115;1758284156;dl;rpi3;;;;;
;normal;early;26,30519867;2;3,123998642;0,674008811;1758284157;dl;rpi3;;;;;
;rolling element failure;normal;31,02493286;2;3,123998642;0,671052632;1758284158;dl;rpi3;;;;;
;suspect;normal;27,98008919;1,6;3,123998642;0,668122271;1758284159;dl;rpi3;;;;;
;normal;normal;31,2268734;1,6;3,123998642;0,669565217;1758284160;dl;rpi3;;;;;
;normal;normal;36,19790077;1,8;3,123998642;0,670995671;1758284161;dl;rpi3;;;;;
;rolling element failure;rolling element failure;38,60521317;2,3;3,123998642;0,672413793;1758284162;dl;rpi3;;;;;
;suspect;suspect;23,16474915;1,5;3,123998642;0,673819742;1758284163;dl;rpi3;;;;;
;normal;normal;25,58898926;1,5;3,123998642;0,675213675;1758284164;dl;rpi3;;;;;
;suspect;suspect;28,41901779;1,7;3,123998642;0,676595745;1758284165;dl;rpi3;;;;;
;stage 2 failure;rolling element failure;20,16687393;1,4;3,123998642;0,673728814;1758284166;dl;rpi3;;;;;
;suspect;normal;22,14097977;1,5;3,123998642;0,670886076;1758284167;dl;rpi3;;;;;
;normal;normal;24,17731285;2,5;3,124094009;0,672268908;1758284168;dl;rpi3;;;;;
;normal;normal;22,88722992;1,4;3,124094009;0,673640167;1758284169;dl;rpi3;;;;;
;rolling element failure;suspect;27,44913101;2,3;3,124094009;0,670833333;1758284170;dl;rpi3;;;;;
;suspect;suspect;23,66805077;1,8;3,123998642;0,67219917;1758284171;dl;rpi3;;;;;
;normal;early;25,33483505;1,8;3,123998642;0,669421488;1758284172;dl;rpi3;;;;;
;normal;early;23,88119698;1,4;3,123998642;0,666666667;1758284173;dl;rpi3;;;;;
;rolling element failure;normal;22,66907692;1,4;3,123998642;0,663934426;1758284174;dl;rpi3;;;;;
;suspect;suspect;23,52404594;1,6;3,123998642;0,665306122;1758284175;dl;rpi3;;;;;
;normal;normal;24,87802505;1,5;3,123998642;0,666666667;1758284176;dl;rpi3;;;;;
;normal;suspect;24,81818199;1,6;3,123998642;0,663967611;1758284177;dl;rpi3;;;;;
;rolling element failure;stage 2 failure;23,00786972;1,4;3,123998642;0,661290323;1758284178;dl;rpi3;;;;;
;suspect;normal;29,47711945;2,1;3,123998642;0,658634538;1758284179;dl;rpi3;;;;;
;normal;normal;24,36685562;1,5;3,123998642;0,66;1758284180;dl;rpi3;;;;;
;normal;normal;23,66399765;1,4;3,123998642;0,661354582;1758284181;dl;rpi3;;;;;
;normal;normal;24,19924736;1,5;3,123998642;0,662698413;1758284182;dl;rpi3;;;;;
;suspect;suspect;27,5657177;2,5;3,124094009;0,664031621;1758284183;dl;rpi3;;;;;
;normal;early;50,11582375;2,2;3,124094009;0,661417323;1758284184;dl;rpi3;;;;;
;normal;early;28,6898613;1,8;3,124094009;0,658823529;1758284185;dl;rpi3;;;;;
;normal;normal;24,27816391;1,5;3,123998642;0,66015625;1758284186;dl;rpi3;;;;;
;suspect;normal;23,69594574;1,6;3,123998642;0,657587549;1758284187;dl;rpi3;;;;;
;normal;normal;23,84805679;1,5;3,123998642;0,658914729;1758284188;dl;rpi3;;;;;
;normal;normal;24,84726906;1,5;3,123998642;0,66023166;1758284189;dl;rpi3;;;;;
;normal;normal;24,37710762;1,5;3,123998642;0,661538462;1758284190;dl;rpi3;;;;;
;suspect;normal;23,11110497;1,9;3,123998642;0,659003831;1758284191;dl;rpi3;;;;;
;normal;normal;25,81214905;1,6;3,123998642;0,660305344;1758284192;dl;rpi3;;;;;
;normal;normal;22,70722389;1,5;3,123998642;0,661596958;1758284193;dl;rpi3;;;;;
;rolling element failure;suspect;24,61099625;1,5;3,123998642;0,659090909;1758284194;dl;rpi3;;;;;
;suspect;suspect;24,44171906;1,5;3,123998642;0,660377358;1758284195;dl;rpi3;;;;;
;normal;normal;25,48122406;1,5;3,123998642;0,661654135;1758284197;dl;rpi3;;;;;
;normal;normal;24,08480644;1,6;3,123998642;0,662921348;1758284198;dl;rpi3;;;;;
;normal;normal;23,84018898;2,3;3,124094009;0,664179104;1758284199;dl;rpi3;;;;;
;suspect;suspect;26,61776543;2,3;3,124094009;0,665427509;1758284200;dl;rpi3;;;;;
;normal;normal;25,68101883;1,5;3,124094009;0,666666667;1758284201;dl;rpi3;;;;;
;normal;normal;26,22175217;1,7;3,125476837;0,667896679;1758284202;dl;rpi3;;;;;
;rolling element failure;rolling element failure;24,37710762;1,5;3,125476837;0,669117647;1758284203;dl;rpi3;;;;;
;suspect;normal;27,74000168;1,7;3,125476837;0,666666667;1758284204;dl;rpi3;;;;;
;normal;normal;24,70397949;1,5;3,125476837;0,667883212;1758284205;dl;rpi3;;;;;
;normal;normal;25,64716339;1,6;3,125476837;0,669090909;1758284206;dl;rpi3;;;;;
;rolling element failure;suspect;30,3580761;1,9;3,125476837;0,666666667;1758284207;dl;rpi3;;;;;
;suspect;normal;24,20306206;1,5;3,125476837;0,664259928;1758284208;dl;rpi3;;;;;
;normal;normal;25,04992485;1,5;3,125476837;0,665467626;1758284209;dl;rpi3;;;;;
;normal;normal;24,43599701;1,5;3,125476837;0,666666667;1758284210;dl;rpi3;;;;;
;normal;normal;31,02111816;1,9;3,125476837;0,667857143;1758284211;dl;rpi3;;;;;
;suspect;suspect;26,1259079;1,8;3,125476837;0,669039146;1758284212;dl;rpi3;;;;;
;normal;early;24,36494827;2,6;3,1270504;0,666666667;1758284213;dl;rpi3;;;;;
;normal;early;25,61497688;1,6;3,1270504;0,664310954;1758284214;dl;rpi3;;;;;
;normal;normal;26,66020393;2,3;3,128528595;0,665492958;1758284215;dl;rpi3;;;;;
;suspect;normal;27,53782272;1,6;3,133773804;0,663157895;1758284216;dl;rpi3;;;;;
;normal;normal;23,62704277;1,7;3,133678436;0,664335664;1758284217;dl;rpi3;;;;;
;normal;normal;28,70607376;1,8;3,133678436;0,665505226;1758284218;dl;rpi3;;;;;
;normal;normal;22,24206924;1,5;3,13372612;0,666666667;1758284219;dl;rpi3;;;;;
;suspect;suspect;28,07497978;1,9;3,13372612;0,667820069;1758284220;dl;rpi3;;;;;
;normal;normal;26,15714073;1,6;3,13372612;0,668965517;1758284221;dl;rpi3;;;;;
