id;pred;true;latency_ms;cpu_percent;mem_percent;accuracy_cumulative;timestamp;;;;Lat media;CPU % media;Mem % media
;normal;suspect;96,46511078;32,2;80,3;0,430656934;1758190067;;;;;;
;normal;early;128,8769245;34,9;80,2;0,427536232;1758190068;;;;;;
;early;early;119,7149754;29,5;80,3;0,431654676;1758190069;;;;;;
;early;normal;139,0779018;34,9;80,5;0,428571429;1758190070;;;;;;
;normal;suspect;136,5072727;31,5;80,4;0,425531915;1758190071;;;;;;
;normal;normal;136,9729042;34,9;80,3;0,429577465;1758190072;;;;;;
;imminent failure;normal;117,5591946;32,4;80,8;0,426573427;1758190073;;;;;;
;suspect;rolling element failure;109,0447903;28,8;81,1;0,423611111;1758190074;;;;;;
;normal;normal;111,8600368;31,6;80,4;0,427586207;1758190075;;;;;;
;normal;normal;121,5760708;40,7;80,4;0,431506849;1758190076;;;;;;
;stage 2 failure;normal;112,2949123;54,8;80,4;0,428571429;1758190077;;;;;;
;early;suspect;121,2100983;33,4;80,4;0,425675676;1758190078;;;;;;
;suspect;suspect;114,1898632;29,8;80,3;0,429530201;1758190079;;;;;;
;normal;normal;91,9148922;29,8;80,3;0,433333333;1758190080;;;;;;
;suspect;normal;109,9321842;35,9;80,6;0,430463576;1758190081;;;;;;
;early;normal;102,8060913;35,1;80,4;0,427631579;1758190082;;;;;;
;normal;normal;97,60189056;38,9;80,7;0,431372549;1758190083;;;;;;
;normal;normal;123,8820553;36,7;80,7;0,435064935;1758190084;;;;;;
;imminent failure;normal;117,0487404;33,6;80,6;0,432258065;1758190085;;;;;;
;early;suspect;143,4707642;37,9;80,6;0,429487179;1758190086;;;;;;
;normal;suspect;117,9368496;34,2;80,5;0,426751592;1758190087;;;;;;
;normal;early;110,9380722;34,1;80,5;0,424050633;1758190088;;;;;;
;early;early;133,5542202;34,6;81,1;0,427672956;1758190089;;;;;;
;early;normal;112,5860214;38,4;81;0,425;1758190090;;;;;;
;normal;suspect;112,241745;52,7;80,7;0,422360248;1758190091;;;;;;
;normal;normal;109,6589565;57,3;80,6;0,425925926;1758190092;;;;;;
;stage 2 failure;normal;125,1850128;44,6;80,6;0,423312883;1758190093;;;;;;
;stage 2 failure;rolling element failure;97,61309624;37,6;80,5;0,420731707;1758190094;;;;;;
;normal;normal;112,7991676;33,2;80,6;0,424242424;1758190095;;;;;;
;normal;normal;111,9039059;45,3;80,6;0,427710843;1758190096;;;;;;
;early;normal;115,3640747;46,6;81,2;0,425149701;1758190097;;;;;;
;early;normal;103,5888195;49;81,2;0,422619048;1758190098;;;;;;
;normal;suspect;197,8628635;48,1;82;0,420118343;1758190099;;;;;;
;normal;early;145,7290649;62;81,4;0,417647059;1758190100;;;;;;
;early;early;129,3749809;51,1;81,6;0,421052632;1758190101;;;;;;
;early;normal;129,8611164;30,4;81,7;0,418604651;1758190102;;;;;;
;normal;suspect;120,7220554;30;81,8;0,416184971;1758190103;;;;;;
;normal;early;147,5770473;30,6;81,7;0,413793103;1758190105;;;;;;
;early;early;108,7040901;39;81,9;0,417142857;1758190105;;;;;;
;early;normal;110,145092;42,4;82;0,414772727;1758190107;;;;;;
;normal;normal;129,6060085;51,7;82;0,418079096;1758190108;;;;;;
;normal;normal;116,8189049;45,7;81,1;0,421348315;1758190109;;;;;;
;imminent failure;normal;104,2060852;35,9;81,1;0,418994413;1758190110;;;;;;
;normal;suspect;130,0051212;38,2;81,4;0,416666667;1758190111;;;;;;
;imminent failure;suspect;117,2571182;47;81,3;0,414364641;1758190112;;;;;;
;normal;normal;103,4240723;41,4;81,3;0,417582418;1758190113;;;;;;
;stage 2 failure;normal;134,2110634;44,6;81,5;0,415300546;1758190114;;;;;;
;early;normal;122,5159168;40,2;81,7;0,413043478;1758190115;;;;;;
;normal;suspect;121,2501526;36,5;81,5;0,410810811;1758190116;;;;;;
;normal;normal;143,6498165;32,3;81,5;0,413978495;1758190117;;;;;;
;stage 2 failure;normal;126,7631054;35,2;81,8;0,411764706;1758190118;;;;;;
;early;rolling element failure;135,1327896;34,2;81,7;0,409574468;1758190119;;;;;;
;normal;suspect;111,2968922;33,3;81,6;0,407407407;1758190120;;;;;;
;normal;early;127,4659634;42,5;81,2;0,405263158;1758190121;;;;;;
;early;early;129,0662289;48,7;81,2;0,408376963;1758190122;;;;;;
;early;normal;96,46606445;59,9;81,2;0,40625;1758190123;;;;;;
;normal;normal;118,2122231;43;81,5;0,409326425;1758190124;;;;;;
;normal;normal;120,0089455;37,3;81,2;0,412371134;1758190125;;;;;;
;suspect;normal;112,7290726;51,2;81,3;0,41025641;1758190126;;;;;;
;early;normal;117,246151;33,9;81,1;0,408163265;1758190127;;;;;;
;early;early;130,5239201;35,4;81,2;0,411167513;1758190128;;;;;;
;early;early;136,5120411;31,6;81,2;0,414141414;1758190129;;;;;;
;early;early;133,9781284;32,6;81,1;0,417085427;1758190130;;;;;;
;early;early;126,9931793;36,9;82;0,42;1758190131;;;;;;
;imminent failure;imminent failure;135,6582642;34,2;81,8;0,422885572;1758190132;;;;;;
;imminent failure;imminent failure;129,349947;35,5;81,4;0,425742574;1758190134;;;;;;
;imminent failure;inner race failure;101,9699574;36,1;81,3;0,42364532;1758190135;;;;;;
;imminent failure;stage 2 failure;135,2951527;41,5;81,5;0,421568627;1758190136;;;;;;
;normal;normal;92,59796143;44,2;81,5;0,424390244;1758190137;;;;;;
;normal;normal;129,6639442;46,6;81,4;0,427184466;1758190138;;;;;;
;early;normal;99,51400757;35,1;81,4;0,425120773;1758190139;;;;;;
;suspect;suspect;115,1731014;35,6;81,3;0,427884615;1758190140;;;;;;
;normal;normal;100,1362801;40,3;81,4;0,43062201;1758190141;;;;;;
;normal;normal;130,2032471;35,8;81,3;0,433333333;1758190142;;;;;;
;early;normal;116,065979;42,8;81,3;0,431279621;1758190143;;;;;;
;early;normal;125,783205;44,6;81,6;0,429245283;1758190144;;;;;;
;normal;suspect;145,6627846;34,3;81,3;0,427230047;1758190145;;;;;;
;normal;normal;136,5237236;35,1;81,4;0,429906542;1758190146;;;;;;
;early;normal;108,561039;33,1;81,3;0,427906977;1758190147;;;;;;
;early;rolling element failure;145,3309059;48,9;81,3;0,425925926;1758190148;;;;;;
;normal;suspect;144,1178322;39,5;82;0,423963134;1758190149;;;;;;
;normal;normal;120,7909584;42,8;81,3;0,426605505;1758190150;;;;;;
;imminent failure;suspect;104,7768593;37;81,3;0,424657534;1758190151;;;;;;
;imminent failure;stage 2 failure;107,9649925;56,4;81,5;0,422727273;1758190152;;;;;;
;normal;suspect;102,8330326;45,9;81,4;0,42081448;1758190153;;;;;;
;normal;early;130,6531429;34,3;81,3;0,418918919;1758190155;;;;;;
;early;early;134,5529556;34;81,5;0,421524664;1758190156;;;;;;
;early;normal;126,6980171;47,3;82,2;0,419642857;1758190157;;;;;;
;normal;suspect;115,4310703;37,6;81,2;0,417777778;1758190158;;;;;;
;normal;early;127,5923252;42,8;81,3;0,415929204;1758190159;;;;;;
;early;early;99,65205193;43,4;81,5;0,418502203;1758190160;;;;;;
;early;normal;122,6291656;49,9;81,6;0,416666667;1758190161;;;;;;
;normal;normal;123,265028;37,3;81,5;0,419213974;1758190162;;;;;;
;normal;normal;143,9349651;33,5;81,5;0,42173913;1758190163;;;;;;
;stage 2 failure;normal;131,5300465;32,7;81,4;0,41991342;1758190164;;;;;;
;early;rolling element failure;120,5260754;33;81,2;0,418103448;1758190165;;;;;;
;normal;suspect;110,0051403;37,2;81,5;0,416309013;1758190166;;;;;;
;normal;normal;122,5259304;34,2;81,5;0,418803419;1758190167;;;;;;
;imminent failure;suspect;97,23711014;61,3;81,6;0,417021277;1758190168;;;;;;
;stage 2 failure;rolling element failure;94,30813789;40,1;81,5;0,415254237;1758190169;;;;;;
;normal;normal;127,1309853;36,6;81,5;0,417721519;1758190170;;;;;;
;normal;normal;111,8299961;35;81,5;0,420168067;1758190171;;;;;;
;stage 2 failure;normal;141,8521404;37,2;81,3;0,418410042;1758190172;;;;;;
;early;suspect;110,916853;37,4;81,5;0,416666667;1758190173;;;;;;
;suspect;suspect;112,1749878;33,5;81,4;0,419087137;1758190174;;;;;;
;normal;early;122,0781803;33;81,5;0,417355372;1758190175;;;;;;
;early;early;116,1699295;36,2;81,4;0,419753086;1758190176;;;;;;
;early;normal;147,7770805;36,5;81,4;0,418032787;1758190177;;;;;;
;normal;suspect;118,6339855;35,1;81,4;0,416326531;1758190178;;;;;;
;normal;normal;126,9578934;32,2;81,4;0,418699187;1758190179;;;;;;
;imminent failure;suspect;121,9799519;34,1;81,4;0,417004049;1758190180;;;;;;
;imminent failure;stage 2 failure;147,4750042;35,2;81,4;0,415322581;1758190181;;;;;;
;normal;normal;128,9329529;35,1;81,3;0,417670683;1758190182;;;;;;
;normal;normal;109,5440388;49,9;81,5;0,42;1758190183;;;;;;
;imminent failure;normal;112,5380993;44,7;81,4;0,418326693;1758190184;;;;;;
;early;normal;138,4351254;32,2;81,3;0,416666667;1758190185;;;;;;
;normal;suspect;107,4228287;37,3;81,3;0,415019763;1758190186;;;;;;
;normal;early;117,9919243;34,5;81,3;0,413385827;1758190187;;;;;;
;stage 2 failure;early;107,8548431;38,3;80,8;0,411764706;1758190188;;;;;;
;early;normal;122,3139763;30,7;80,9;0,41015625;1758190189;;;;;;
;normal;normal;119,3330288;35,6;81,2;0,412451362;1758190190;;;;;;
;normal;normal;142,9319382;30,8;81,1;0,414728682;1758190191;;;;;;
;imminent failure;normal;132,1761608;32,7;81;0,413127413;1758190192;;;;;;
;early;normal;117,7790165;31,9;81;0,411538462;1758190193;;;;;;
;normal;normal;134,2868805;31,6;81;0,413793103;1758190194;;;;;;
;normal;normal;120,1469898;37,4;81;0,416030534;1758190195;;;;;;
;stage 2 failure;normal;145,9820271;34;81;0,414448669;1758190196;;;;;;
;early;suspect;125,082016;40;75,2;0,412878788;1758190197;;;;;;
;imminent failure;suspect;113,1520271;48,7;75,1;0,411320755;1758190198;;;;;;
;normal;normal;109,1587543;32,9;76,3;0,413533835;1758190199;;;;;;
;imminent failure;normal;103,3570766;30,9;77,8;0,411985019;1758190200;;;;;;
;suspect;normal;128,6201477;35,5;79,3;0,410447761;1758190202;;;;;;
;normal;suspect;129,0030479;31,5;80,6;0,408921933;1758190203;;;;;;
;normal;normal;120,182991;40,1;80,9;0,411111111;1758190204;;;;;;
;stage 2 failure;normal;105,2961349;41,1;81,3;0,409594096;1758190205;;;;;;
;stage 2 failure;rolling element failure;119,166851;28,9;81,2;0,408088235;1758190206;;;;;;
;normal;normal;121,5538979;37,2;81,8;0,41025641;1758190207;;;;;;
;normal;normal;126,3182163;33,2;81,9;0,412408759;1758190208;;;;;;
;imminent failure;normal;118,1988716;32;81,6;0,410909091;1758190209;;;;;;
;early;suspect;117,7859306;40,7;81,9;0,40942029;1758190210;;;;;;
;normal;normal;99,03311729;41,3;81,8;0,411552347;1758190211;;;;;;
;normal;normal;139,5320892;35,1;81,6;0,413669065;1758190212;;;;;;
;early;normal;112,7688885;45;81,8;0,41218638;1758190213;;;;;;
;early;normal;97,3880291;33,1;81,5;0,410714286;1758190214;;;;;;
;normal;suspect;102,5640965;42;81,4;0,409252669;1758190215;;;;;;
;normal;early;110,0871563;34,5;81,4;0,407801418;1758190216;;;;;;
;stage 2 failure;early;132,1709156;34,3;81,3;0,406360424;1758190217;;;;;;
;early;normal;125,8380413;39,9;81,2;0,404929577;1758190218;;;;;;
;normal;normal;109,2858315;29,3;81,2;0,407017544;1758190219;;;;;;
;normal;normal;96,8708992;37,7;81,6;0,409090909;1758190220;;;;;;
;imminent failure;normal;147,5129128;36,6;81,7;0,407665505;1758190221;;;;;;
;early;normal;137,7949715;33,7;81,4;0,40625;1758190222;;;;;;
;normal;suspect;106,3089371;34,1;81,3;0,404844291;1758190223;;;;;;
;normal;normal;121,8731403;32,9;81,5;0,406896552;1758190224;;;;;;
;imminent failure;normal;123,4650612;34,6;81,5;0,405498282;1758190225;;;;;;
;stage 2 failure;rolling element failure;120,098114;42,4;81,4;0,404109589;1758190226;;;;;;
;imminent failure;suspect;101,7169952;36,4;81,3;0,402730375;1758190227;;;;;;
;normal;normal;115,1499748;53,2;81,4;0,404761905;1758190228;;;;;;
;early;normal;114,4702435;46;81,4;0,403389831;1758190229;;;;;;
;early;normal;115,9069538;35;81,5;0,402027027;1758190230;;;;;;
;normal;suspect;114,9523258;35,5;81,4;0,400673401;1758190231;;;;;;
;normal;early;120,2270985;34,1;81,5;0,399328859;1758190232;;;;;;
;imminent failure;early;100,1799107;50,5;81,5;0,397993311;1758190233;;;;;;
;early;normal;123,5227585;38,3;81,6;0,396666667;1758190234;;;;;;
;normal;normal;133,8167191;34,8;81,7;0,398671096;1758190235;;;;;;
;normal;normal;132,1222782;35,9;81,6;0,400662252;1758190236;;;;;;
;early;normal;110,188961;35,8;81,6;0,399339934;1758190237;;;;;;
;early;suspect;157,8080654;34,5;81,5;0,398026316;1758190238;;;;;;
;normal;normal;141,4458752;35,8;81,8;0,4;1758190239;;;;;;
;normal;normal;124,2277622;40,4;82;0,401960784;1758190240;;;;;;
;imminent failure;normal;159,774065;35,5;81,7;0,400651466;1758190241;;;;;;
;early;rolling element failure;126,2469292;44,1;81,5;0,399350649;1758190242;;;;;;
;normal;suspect;133,3870888;45,5;81,4;0,398058252;1758190243;;;;;;
;normal;normal;118,1740761;39,1;81,3;0,4;1758190244;;;;;;
;stage 2 failure;suspect;108,2189083;35,3;81,3;0,398713826;1758190245;;;;;;
;stage 2 failure;stage 2 failure;114,8810387;44,4;81,1;0,400641026;1758190246;;;;;;
;normal;suspect;128,9429665;35,9;81,4;0,399361022;1758190247;;;;;;
;suspect;early;118,724823;51,2;81,9;0,398089172;1758190248;;;;;;
;stage 2 failure;early;135,0820065;36,3;81,9;0,396825397;1758190250;;;;;;
;early;normal;154,0131569;32,8;81,6;0,39556962;1758190251;;;;;;
;normal;suspect;136,9929314;38,6;81,8;0,394321767;1758190252;;;;;;
;normal;normal;112,1790409;33,9;81,9;0,396226415;1758190253;;;;;;
;imminent failure;suspect;115,8761978;48,3;81,8;0,394984326;1758190254;;;;;;
;imminent failure;rolling element failure;135,010004;32,4;81,7;0,39375;1758190255;;;;;;
;normal;normal;102,0658016;33,8;81,1;0,395638629;1758190256;;;;;;
;normal;normal;130,7339668;27,9;81,5;0,397515528;1758190257;;;;;;
;imminent failure;normal;125,7629395;35,7;81,3;0,39628483;1758190258;;;;;;
;early;rolling element failure;103,3079624;31;81,4;0,395061728;1758190259;;;;;;
;normal;suspect;100,0583172;43,5;81,2;0,393846154;1758190260;;;;;;
;normal;normal;101,7177105;32,2;81,3;0,395705521;1758190261;;;;;;
;early;normal;121,7451096;34,8;81,2;0,394495413;1758190262;;;;;;
;early;rolling element failure;102,5710106;32,8;81,2;0,393292683;1758190263;;;;;;
;normal;normal;131,1340332;31,9;81,2;0,395136778;1758190264;;;;;;
;normal;normal;101,6471386;31,1;81,2;0,396969697;1758190265;;;;;;
;early;normal;125,8618832;36,4;81,3;0,395770393;1758190266;;;;;;
;early;normal;114,3808365;35,5;81,6;0,394578313;1758190267;;;;;;
;normal;normal;125,2400875;36,9;81,8;0,396396396;1758190268;;;;;;
;normal;normal;150,8250237;32,8;81,7;0,398203593;1758190269;;;;;;
;early;normal;129,5230389;35,5;81,6;0,397014925;1758190270;;;;;;
;early;suspect;143,0499554;33,8;81,8;0,395833333;1758190271;;;;;;
;normal;suspect;126,598835;39,3;81,5;0,394658754;1758190272;;;;;;
;normal;early;124,4060993;33,2;81,4;0,393491124;1758190273;;;;;;
;early;early;109,5559597;57,8;81,4;0,395280236;1758190274;;;;;;
;early;normal;100,5020142;38,1;81,4;0,394117647;1758190275;;;;;;
;normal;suspect;122,4489212;36,7;81,6;0,392961877;1758190276;;;;;;
;normal;normal;115,2219772;34,1;81,5;0,394736842;1758190277;;;;;;
;stage 2 failure;suspect;115,7519817;36,9;81,4;0,393586006;1758190278;;;;;;
;imminent failure;stage 2 failure;98,28090668;36,3;81,4;0,39244186;1758190279;;;;;;
;early;early;123,4068871;34,3;79,9;0,394202899;1758190280;;;;;;
;early;early;143,4049606;38,1;80,2;0,395953757;1758190281;;;;;;
;early;early;116,5597439;33,9;79,8;0,397694524;1758190282;;;;;;
;early;early;127,9957294;33,6;79,7;0,399425287;1758190283;;;;;;
;imminent failure;imminent failure;123,0220795;36,1;80,1;0,401146132;1758190284;;;;;;
;imminent failure;imminent failure;105,3102016;34,1;79,6;0,402857143;1758190285;;;;;;
;stage 2 failure;inner race failure;146,3160515;42;79,6;0,401709402;1758190286;;;;;;
;imminent failure;stage 2 failure;120,5928326;38,8;79,6;0,400568182;1758190287;;;;;;
;imminent failure;suspect;134,1261864;35;80,3;0,399433428;1758190288;;;;;;
;normal;normal;106,659174;51,3;79,9;0,401129944;1758190289;;;;;;
;stage 2 failure;normal;146,2111473;40,6;79,8;0,4;1758190290;;;;;;
;early;normal;129,1062832;38,6;79,8;0,398876404;1758190291;;;;;;
;normal;normal;140,1119232;29,9;79,8;0,400560224;1758190292;;;;;;
;normal;normal;116,7740822;38,2;79,8;0,402234637;1758190293;;;;;;
;early;normal;135,7021332;31,5;79,7;0,401114206;1758190294;;;;;;
;early;normal;109,4970703;30,5;79,7;0,4;1758190295;;;;;;
;normal;suspect;123,78335;31;79,8;0,398891967;1758190297;;;;;;
;normal;early;148,4022141;31,6;79,8;0,397790055;1758190298;;;;;;
;early;early;120,0449467;29,1;79,9;0,399449036;1758190299;;;;;;
;early;normal;129,3268204;34;80;0,398351648;1758190300;;;;;;
